"","listing_id","availability_30","price_30","revenue_30"
"702",5834104,0,21.3333333333333,640
"703",5837905,30,NA,0
"704",5842614,29,140,140
"705",5843366,0,105,3150
"706",5855170,27,200,600
"707",5872933,25,132,660
"708",5874167,21,24.8888888888889,224
"709",5890637,28,35,70
"710",5898645,29,30,30
"711",5907392,30,NA,0
"712",5921584,0,40.3333333333333,1210
"713",5924627,29,25,25
"714",5938849,0,77.8666666666667,2336
"715",5941781,30,NA,0
"716",5951130,30,NA,0
"717",5963000,30,NA,0
"718",5976389,29,65,65
"719",5977453,26,142.5,570
"720",5991254,0,30,900
"721",5999985,28,50,100
"722",6001827,29,28,28
"723",6009977,1,31.6206896551724,917
"724",6012537,29,60,60
"725",6013200,30,NA,0
"726",6017434,30,NA,0
"727",6037548,8,35.8181818181818,788
"728",6043831,0,68,2040
"729",6057213,0,59,1770
"730",6067461,0,100,3000
"731",6089819,12,42,756
"732",6095692,30,NA,0
"733",6123853,1,30.2068965517241,876
"734",6129312,30,NA,0
"735",6166475,30,NA,0
"736",6168352,29,35,35
"737",6191199,29,160,160
"738",6196042,30,NA,0
"739",6221778,0,28,840
"740",6232520,29,74,74
"741",6245213,29,75,75
"742",6267284,30,NA,0
"743",6308246,0,38.6,1158
"744",6323959,29,150,150
"745",6344552,29,70,70
"746",6347866,29,30,30
"747",6386402,30,NA,0
"748",6393172,8,59,1298
"749",6422355,30,NA,0
"750",6441665,25,35,175
"751",6447816,30,NA,0
"752",6522859,0,120,3600
"753",6583578,30,NA,0
"754",6605854,30,NA,0
"755",6624963,29,88,88
"756",6627258,29,55,55
"757",6632124,30,NA,0
"758",6633711,4,188.230769230769,4894
"759",6660332,28,45,90
"760",6671489,30,NA,0
"761",6682427,0,78.3333333333333,2350
"762",6687710,20,96,960
"763",6700358,22,110.625,885
"764",6743737,29,45,45
"765",6748342,30,NA,0
"766",6776175,17,37.9230769230769,493
"767",6781368,1,41.3793103448276,1200
"768",6781544,30,NA,0
"769",6783377,23,134.714285714286,943
"770",6849928,30,NA,0
"771",6937664,14,39.6875,635
"772",6938794,30,NA,0
"773",6962284,16,69.9285714285714,979
"774",6964054,30,NA,0
"775",7008478,11,40,760
"776",7009267,22,40,320
"777",7061325,30,NA,0
"778",7068050,28,38,76
"779",7091177,29,39,39
"780",7110746,30,NA,0
"781",7117752,29,190,190
"782",7121275,8,60,1320
"783",7147901,0,101,3030
"784",7171741,30,NA,0
"785",7209013,28,56,112
"786",7216920,0,57.6666666666667,1730
"787",7242698,30,NA,0
"788",7277253,27,32.6666666666667,98
"789",7285236,0,43,1290
"790",7302937,29,85,85
"791",7306688,3,35.8148148148148,967
"792",7418386,30,NA,0
"793",7435192,28,130,260
"794",7486928,19,48.2727272727273,531
"795",7495551,0,74.5666666666667,2237
"796",7497049,30,NA,0
"797",7508820,29,56,56
"798",7528195,30,NA,0
"799",7545165,27,70,210
"800",7594006,29,44,44
"801",7646660,18,75,900
"802",7661143,30,NA,0
"803",7673023,17,48,624
"804",7678203,0,56.3333333333333,1690
"805",7687081,5,101.6,2540
"806",7687502,30,NA,0
"807",7697611,30,NA,0
"808",7727017,18,50,600
"809",7877506,0,65,1950
"810",7883584,0,62.4,1872
"811",7896105,8,50.6363636363636,1114
"812",7897182,29,85,85
"813",7900229,0,55,1650
"814",7900230,0,51.1,1533
"815",7907884,26,37.5,150
"816",7923460,11,60.2105263157895,1144
"817",7927215,17,60.3076923076923,784
"818",7927314,16,60.1428571428571,842
"819",7968876,28,69,138
"820",7996658,30,NA,0
"821",7998877,29,54,54
"822",8024531,16,39,546
"823",8065307,30,NA,0
"824",8066650,0,71.6666666666667,2150
"825",8066760,23,57.8571428571429,405
"826",8097721,30,NA,0
"827",8142794,28,150,300
"828",8166931,30,NA,0
"829",8196816,27,138.333333333333,415
"830",8221775,0,98.4666666666667,2954
"831",8241882,29,85,85
"832",8277825,0,49.0666666666667,1472
"833",8312081,0,67.6666666666667,2030
"834",8346103,30,NA,0
"835",8351452,2,18.6071428571429,521
"836",8352449,30,NA,0
"837",8377029,26,16,64
"838",8396687,29,85,85
"839",8400538,8,61.3181818181818,1349
"840",8400601,28,75,150
"841",8404410,27,99,297
"842",8405159,30,NA,0
"843",8413025,29,75,75
"844",8414213,0,949,28470
"845",8414882,30,NA,0
"846",8426281,30,NA,0
"847",8433932,30,NA,0
"848",8451075,29,110,110
"849",8456940,30,NA,0
"850",8462327,18,86.6666666666667,1040
"851",8480456,13,60.1176470588235,1022
"852",8484988,30,NA,0
"853",8485357,30,NA,0
"854",8500191,29,42,42
"855",8509687,29,94,94
"856",8518115,29,48,48
"857",8544920,27,65.6666666666667,197
"858",8555351,2,59.4642857142857,1665
"859",8586727,29,80,80
"860",8595911,0,50,1500
"861",8605561,28,295,590
"862",8609567,30,NA,0
"863",8617823,9,55.1428571428571,1158
"864",8617941,16,59.2857142857143,830
"865",8618237,30,NA,0
